Core-index,jlpt,Vocab-expression,Vocab-kana,Vocab-meaning-eng,Nep-meaning,Vocab-pos,Sentence-expression,Sentence-meaning-nep,Sentence-kana,Sentence-meaning-eng,Mnemonic,Explanation
501,JLPT3,技術,ぎじゅつ,"skill, technology","कौशल, प्रविधि",Noun,彼は非常に高い技術を持っている。,उहाँसँग धेरै उच्च स्तरको कौशल छ।,かれ は ひじょう に たかい ぎじゅつ を もって いる,He has very advanced skills.,"गिद्द जुत्ता कल्पना गर्नुहोस् कि एउटा गिद्दले प्रविधिसँग जोडिएको विशेष कौशलको जुत्ता लगाइरहेको छ। यो दृश्य हास्यास्पद छ र सजिलै सम्झन सकिन्छ। यसरी, ""ぎ"" लाई ""गिद्द"" र ""じゅつ"" लाई ""जुत्ता"" सँग जोडेर तपाईं ぎじゅつ (कौशल, प्रविधि) शब्दलाई सजिलै सम्झन सक्नुहुन्छ।","{'word': '技術', 'pronunciation': 'ぎじゅつ', 'meanings': [{'nepali': 'कौशल', 'english': 'skill', 'details': ['कुनै काम वा प्रक्रियामा दक्षता र दक्षताको स्तर।', 'जस्तै - चित्रकलामा कलाकारको कौशल, नृत्यमा नर्तकको कौशल, लेखनमा लेखकको कौशल आदि।']}, {'nepali': 'प्रविधि', 'english': 'technology, method', 'details': ['वैज्ञानिक र प्राविधिक ज्ञानको उपयोग गरेर विकास गरिएको विधि वा उपकरण।', 'जस्तै - कम्प्युटर प्रविधि, सूचना प्रविधि, निर्माण प्रविधि आदि।']}]}"
502,JLPT0,まま,まま,"as is, still (in the current state)","जस्ताको तस्तै, अझै पनि (वर्तमान अवस्थामा)",Noun,電気がついたままですよ。,बत्ती अझै पनि बलिरहेको छ।,でんき が ついた まま です よ,The light is still on.,मामा घरमा जस्तै अझै पनि वर्तमान अवस्थामा। मामा जस्तै।,"{'word': 'まま', 'pronunciation': 'まま', 'meanings': [{'nepali': 'जस्ताको तस्तै', 'english': 'as is', 'details': ['कुनै परिवर्तन नगरी, जस्तो अवस्थामा हो त्यसै।']}, {'nepali': 'अझै पनि (वर्तमान अवस्थामा)', 'english': 'still (in the current state)', 'details': ['वर्तमान अवस्थालाई निरन्तर राखेर।']}]}"
503,JLPT2,完成,かんせい,"completion, finish","सम्पन्नता, समाप्त",Verbal Noun,新しいホームページが完成した。,नयाँ होमपेज सम्पूर्ण भयो।,あたらしい ほーむぺーじ が かんせい した,We finished our new home page.,कानसेई - कानमा सेइ लगाएर केही काम सम्पन्न गरेको दृश्य कल्पना गर्नुहोस्।,"{'word': '完成', 'pronunciation': 'かんせい', 'meanings': [{'nepali': 'सम्पन्नता', 'english': 'completion', 'details': ['कुनै काम वा परियोजनाको सम्पूर्णता।']}, {'nepali': 'समाप्त', 'english': 'finish', 'details': ['कुनै कामको अन्तिम चरण।']}]}"
504,JLPT2,変化,へんか,change,परिवर्तन,Verbal Noun,今年は変化の多い年でした。,यस वर्ष धेरै परिवर्तन भएको वर्ष थियो।,ことし は へんか の おおい とし でした,There was a lot of change this year.,हेन्का - परिवर्तनको बेलामा हेन्जको टमाटर ससलाई बदल्नु पर्ने कल्पना गर्नुहोस्।,"{'word': '変化', 'pronunciation': 'へんか', 'meanings': [{'nepali': 'परिवर्तन', 'english': 'change', 'details': ['कुनै कुरा वा अवस्थामा भएको रूपान्तरण।']}]}"
505,JLPT2,存在,そんざい,"existence, being",अस्तित्व,Verbal Noun,宇宙人は存在すると思いますか。,तपाईंलाई लाग्छ कि एलियन्सको अस्तित्व छ?,うちゅうじん は そんざい する と おもいます か,Do you think that aliens exist?,सोनजाई - एक सोनाजाईको रूपमा अस्तित्वमा रहेको कल्पना गर्नुहोस्।,"{'word': '存在', 'pronunciation': 'そんざい', 'meanings': [{'nepali': 'अस्तित्व', 'english': 'existence', 'details': ['कुनै चीज वा व्यक्तिको वर्तमान अवस्था।']}, {'nepali': 'स्थिति', 'english': 'being', 'details': ['कुनै व्यक्तिको अस्तित्व वा उपस्थिति।']}]}"
506,JLPT2,参加,さんか,participation,सहभागिता,Verbal Noun,明日は市民マラソンに参加します。,भोलि नगर म्याराथनमा सहभागी हुनेछु।,あす は しみん まらそん に さんか します,I'll participate in the citizens' marathon tomorrow.,सानका - एक सानको रूपमा भाग लिने कल्पना गर्नुहोस्।,"{'word': '参加', 'pronunciation': 'さんか', 'meanings': [{'nepali': 'सहभागिता', 'english': 'participation', 'details': ['कुनै गतिविधिमा भाग लिने क्रिया।']}]}"
507,JLPT4,テレビ,テレビ,television,टेलिभिजन,Noun,私はテレビをあまり見ません。,म धेरै टेलिभिजन हेर्दिन।,わたし は てれび を あまり みません,I don't watch much TV.,टेलिभिजनमा टेलीपोर्ट हुने सोचेमा।,"{'word': 'テレビ', 'pronunciation': 'てれび', 'meanings': [{'nepali': 'टेलिभिजन', 'english': 'television', 'details': ['दूरसञ्चार माध्यम जसले आवाज र तस्वीरहरू प्रसारण गर्दछ।']}]}"
508,JLPT2,土地,とち,land,भूमि,Noun,ここは父の土地です。,यो मेरो बुवाको भूमि हो।,ここ は ちち の とち です,This is my father's land.,टोटली आफ्नो भूमि।,"{'word': '土地', 'pronunciation': 'とち', 'meanings': [{'nepali': 'भूमि', 'english': 'land', 'details': ['जमिनको क्षेत्रफल, जुन कुनै व्यक्तिको स्वामित्वमा हुन्छ।']}]}"
509,JLPT2,減る,へる,"decrease, diminish",घट्नु,Verb,体重がかなり減りました。,मेरो तौल धेरै घट्यो।,たいじゅう が かなり へりました,I've lost a lot of weight.,घरेलु काम गर्दा तौल घट्ने।,"{'word': '減る', 'pronunciation': 'へる', 'meanings': [{'nepali': 'घट्नु', 'english': 'decrease, diminish', 'details': ['कुनै वस्तु वा मात्रामा कमी आउनु।']}]}"
510,JLPT2,検討,けんとう,"consideration, inspection","विचार, जाँच",Verbal Noun,今日中にこの問題を検討してください。,कृपया आज यो समस्यालाई विचार गर्नुहोस्।,きょう じゅう に この もんだい を けんとう して ください,Please consider this problem by the end of the day.,कैंटो - कैंटो गरी जाँच गर्ने।,"{'word': '検討', 'pronunciation': 'けんとう', 'meanings': [{'nepali': 'विचार', 'english': 'consideration', 'details': ['कुनै विषयमा गहिरो सोच।']}, {'nepali': 'जाँच', 'english': 'inspection', 'details': ['कुनै वस्तुको जाँच र समीक्षा।']}]}"
511,JLPT3,政治,せいじ,politics,राजनीति,Noun,私は政治に関心がある。,मलाई राजनीतिमा चासो छ।,わたし は せいじ に かんしん が ある,I'm interested in politics.,सेइजी - सेइ (सही) राजनीति।,"{'word': '政治', 'pronunciation': 'せいじ', 'meanings': [{'nepali': 'राजनीति', 'english': 'politics', 'details': ['देश वा समाजको प्रशासनिक प्रणाली।']}]}"
512,JLPT2,実施,じっし,"enforcement, implementation",कार्यान्वयन,Verbal Noun,現在、スペシャルキャンペーンを実施中です。,"हाल, विशेष अभियान कार्यान्वयनमा छ।",げんざい すぺしゃるきゃんぺーん を じっしちゅう です,A special campaign is now under way.,जित्सी - जित्न कार्यान्वयन गर्नु।,"{'word': '実施', 'pronunciation': 'じっし', 'meanings': [{'nepali': 'कार्यान्वयन', 'english': 'enforcement', 'details': ['कुनै योजना वा नियमलाई कार्यान्वयन गर्नु।']}, {'nepali': 'अमल', 'english': 'implementation', 'details': ['कुनै कुरा लागू गर्नु।']}]}"
513,JLPT2,開始,かいし,beginning,सुरू,Verbal Noun,運動会は9時開始です。,खेलकुद प्रतियोगिता बिहान ९ बजे सुरू हुन्छ।,うんどうかい は くじ かいし です,The athletic meet begins at nine o'clock.,कैशी - खेलको शुरूवात।,"{'word': '開始', 'pronunciation': 'かいし', 'meanings': [{'nepali': 'सुरू', 'english': 'beginning', 'details': ['कुनै कामको प्रारम्भ।']}]}"
